BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
M0424810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8617104,0.078636974,-1.6623778,0.16763939,-1.7845783,0.1792535,True,128,MAE,64.48616552352905,Loic
M0424810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.85248953,0.090811536,-2.4088695,0.19773631,-2.5752618,0.21628593,True,131,NSE,75.30204701423645,Loic
M3014010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.81168085,0.38415012,0.66089845,0.44825318,0.6419967,0.4227488,True,202,MAE,56.27124238014221,Loic
M3014010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.8447982,0.39017764,0.6507858,0.47226816,0.6293613,0.44412345,True,193,NSE,54.09715938568115,Loic
M3014010,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.89562356,0.26328593,0.66526127,0.41592038,0.718758,0.36508256,True,136,MAE,55.96848917007446,Loic
M3014010,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.89750576,0.29455006,0.6964538,0.40041482,0.7252676,0.35910466,True,129,NSE,53.91611647605896,Loic
M3014010,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.9492903,0.17992006,0.76929724,0.33796683,0.7737851,0.28976375,True,187,MAE,122.32943606376648,Loic
M3014010,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.95518667,0.19604273,0.7710959,0.34037617,0.80230606,0.2984755,True,185,NSE,114.4243893623352,Loic
O0794010,7,1997-01-07,2004-10-01,2007-12-10,2012-12-31,0.7308186,0.31208077,0.3535263,0.4089376,0.56745553,0.35892653,True,145,MAE,24.91992235183716,Loic
O0794010,7,1997-01-07,2004-10-01,2007-12-10,2012-12-31,,,,,,,True,98,NSE,16.4062397480011,Loic
O0794010,15,1997-01-15,2004-10-05,2007-12-13,2012-12-31,0.7821411,0.21560208,0.5382383,0.3542098,0.65982854,0.30590394,True,138,MAE,37.07482600212097,Loic
O0794010,15,1997-01-15,2004-10-05,2007-12-13,2012-12-31,0.89707476,0.22485979,0.47047567,0.374253,0.6495351,0.3283517,True,166,NSE,45.170525789260864,Loic
